"Site","Domain","Alexa top 100 websites
(As of March 23, 2016)[3]","SimilarWeb top 100 websites
(As of April 4, 2016)[4]","Type","Principal country"
"Naver","Naver.com",89,75,"Portal","Korea"
"Dropbox","dropbox.com",90,62,"File hosting service","U.S."
"Cốc Cốc","coccoc.com",91,NA,"Search engine and web browser","Vietnam"
"Qihoo 360","360.com",92,NA,"Internet Security","China"
"xHamster","xhamster.com",94,39,"Pornography","U.S."
"Adobe","adobe.com",95,91,"Software Company","U.S."
"Flipkart","flipkart.com",96,NA,"Retail","India"
"Microsoft Online","microsoftonline.com",97,NA,"Software as a service","U.S."
"WhatsApp","whatsapp.com",98,59,"Instant Messaging","U.S."
"New York Times","nytimes.com",99,NA,"Newspaper","U.S."
"Chase","chase.com",100,NA,"Banking","U.S."
